potao ku'm perm hornet. anih 'long. rogoh hloh wa tah horn todrong pogdp. kra. yang lam noh. ||| vua lập một. nơi. cực. thánh ở giữa ðền. thờ, phía trong, để đặt. hòm. bia. giao ước của ðức. chúa.
na, kơplah. isăk đei puăn-jĩt sơnăm, sư oei kơ. rếbêka, kon adruh. bêthuel păng oh drỗ- kăn. la'ban,. iu sư bơngai. aram đỡng char. phadan. aram. ||| ông. i-xa-ác được bốn mươi tuổi, khi ông lấy bà. rê-bê-ca làm vợ; bà này là con ông. bơ-thu-ên, người. a-ram ở. pát-đan. a-ram, và là em ông. la-ban, người. a-ram.
na, kơplah. kră. yang 'bok. kei-dei pơrăm lu pơlei lăm thùng, wă khan pơlei mã. lot oei, na sư oei.hlỗk hloi kơ. abraham păng sư pơklaih hloi.lot đỡng anih mă pơrăm tíh rioh; tơm đei kon pợỉei. môap păng kon pơỉei. amôn. ||| như vậy, khi. thiên. chúa phá huỷ các thành trong cả. vùng,. thiên. chúa đã nhớ đến ông áp-ra-ham và đã cứu ông. lót khỏi cuộc tàn phá, khi. người phá đổ các thành nơi ông. lót ở.
na, liơ lu iĕm tơchĕng oei gơh pơlung inh mă ưh kơ yua thoi noh? dôm nơ̆r pơma lu iĕm tă kơ hơlĕnh ngăl. ||| vậy thì có nghĩa gì những lời ủi an vô tích sự các anh dành cho tôi? những câu giải đáp của các anh, chỉ là trò giả dối!
na, lu sư brŏk jur đơ̆ng anih akŭm ei mơ̆t tơ pơlei; na. samuel pơma dơnuh hăm. sôl tơ anih tơ kơpal bơbŭng hnam dơnă,. sôl tep hloi tơ noh. ||| đoạn, chúng đều xuống khỏi nơi cao, vào trong thành; còn. sa-mu-ên trò chuyện cùng. sau-lơ trên mái nhà.
na, lu sư wơh đe tung ba. hom. pơgơ̆p. kră. yang 'bok. kei-dei tơ pơlei. ekrôn, wă. hom. pơgơ̆p noh truh tơ pơlei. ekrôn kon pơlei. ekrôn ôr krao: đe tung ba. hom. pơgơ̆p. kră. yang 'bok. kei-dei đe. isơrael truh tơ bơ̆n wă pơlôch bơ̆n păng kon pơlei pơla lu bơ̆n! ||| bấy giờ, chúng nó sai gởi hòm của đức. chúa. trời đến éc-rôn. khi hòm đến, dân éc-rôn kêu la rằng:. người ta khiêng hòm của đức. chúa. trời của. y-sơ-ra-ên đến cùng ta đặng giết chúng ta và dân sự chúng ta!
na, peftao. dawit khan ko? abisai: "seba, kon. bikri, w5 pcfrdm lu bdti hefmeft hloh ko? apsaldm. na ih athei anhak lu linh inh, druh 'moi. seba kefnh sif tefgar iok pcflei ayo? kojap do?ng lu bo?n.". ||| vua ða-vít nói với ông. a-vi-sai: "bây giờ,. se-va, con của. bích-ri, sẽ làm hại chúng ta hơn áp-sa-lôm. phần ngươi, hãy đem các bề tôi của chúa thượng ngươi mà đuổi theo nó, kẻo nó tìm được những thành kiên cố và thoát khỏi tầm mắt chúng ta."
na, pơtao chhôk dêh păng athei đe hơtõk. daniel đỡng lăm sơlũng. ||| lúc ấy, vua rất vui mừng, truyền kéo ông ða-ni-en lên khỏi hầm.
na, pơtao drôih iung đờng hrôih, sư hăt hot kơdâu năm tơ sơlũng 'dăm-brang. ||| sáng sớm tinh sương, vua đã trỗi dậy, vội vã đi ra hầm sư tử.
na, stf polo tor cham to gah bomol pang hnam ko'deng 'bar pah minh-hrdng ho'gat. gah lam anih 16'ng ro'goh ko'deng to'kla cham,. ||| người ấy đo chiều dài của toà nhà, dọc theo sân phía sau, cùng với hành lang, cả hai bên là năm mươi thước. bên trong cung thánh và các tiền đình của sân,
na, tf lu befngai wei, mong be nor. kra. yang! ||| nên hỡi các mục tử, hãy nghe lời ðức. chúa:
na, truh tơ khei 'năr. mêrap, kon drŏ-kăn. sôl, wă ăn kơ đawit oei, na pơtao tă ăn kơ. adriel oei bơngai đơ̆ng pơlei. mêhôta. ||| vả, khi đến kỳ. mê-ráp, con gái của. sau-lơ, phải gả cho đa-vít, thì lại gả cho át-ri-ên, người. mê-hô-la.
na, tơdrong pơngot rorwẽt rai dêh. tt lăm char sư. ||| nạn đói trong xứ trở nên trầm trọng.
na, êliphas, bơngai. thêman,. bildat, bơngai. sua,. sôpha bơngai. naama, chu păng pơm kiơ̆ hloi thoi. kră. yang bơtho pơkă ăn; kră. yang tơl tơwih nơ̆r. jop. ||| vậy ông ê-li-phát người. tê-man, ông. bin-đát người. su-ác và ông. xô-pha người. na-a-mát, đã đi làm những điều ðức. chúa phán với họ. ðức. chúa đã đoái nhìn đến ông. gióp. ðức. chúa khôi phục tài sản cho ông. gióp
na, êphrôn bơngai. hêtit oei lăm kon pơlei sư tơl nờr. abraham 'bỡt anăp bơngai. hêtit kơtỡng păng đĩ-đăng kon pơlei oei 'bởt 'măng jang thoi âu: ||| ông ép-rôn, người. khết, bấy giờ đang ngồi giữa con cái ông. khết, trả lời cho ông áp-ra-ham, có con cái ông. khết, tức là tất cả những người đến họp ở cửa thành ông ấy, đều nghe; ông nói:
na, ômer jỡ minh lăm mợịlt êpha j. ||| một đấu tương đương bốn lít rưỡi.
na, đawit weh hlôi đơ̆ng anih năm oei tơ anih kơjăp tơ kông êngêđi. ||| ða-vít rời nơi đó và đến trú đóng tại các nơi hiểm trở ở vùng ên. ghê-đi.
na, đawit, kon drŏ-nglo. jese bơngai êphrat, oei lăm pơlei. betlehem dêh. juđa; sư đei tơhngam 'nu kon drŏ-nglo, lăm chăl. sôl,. jese sư bơngai kră mă đe pơyom. ||| vả, đa-vít, là con trai của. y-sai, người ê-phơ-rát kia, quê ở. bết-lê-hem trong xứ. giu-đa; người có tám con trai; trong đời. sau-lơ,. y-sai đã cao tuổi rồi.
na, đawit, lu kră -bơngai. isơrael păng lu yỗng pơgỡr minh-rơbâu linh, năm tung ba. hom. pơgỡp. kră. yang 'bók. kei-dei đỡng hnam òbêt. eđôm hăm tơdrong hiôk chơt. ||| vậy vua ða-vít, các kỳ mục ít-ra-en và các tướng lãnh chỉ huy đơn vị ngàn quân hân hoan ra rước. hòm. bia. giao ước của ðức. chúa lên từ nhà ông ô-vết ê-đôm
na, ơ pơtao dah ih wă jur, jur bĕ tơ tơring lu nhôn, lu nhôn gô rôp sư jao sư ăn kơ ih. ||| vậy, hỡi vua, hãy xuống, y theo lòng sở ước của vua; chúng tôi chịu lo nộp hắn vào tay vua.
na, 'nâu,. inh gô pơlung sư, chông ba sư nàm tơ tơmăn glă păng iỗk nỡr rơngơp pơma hăm sư. ||| bởi thế, này. ta sẽ quyến rũ nó, đưa nó vào sa mạc, để cùng nó thổ lộ tâm tình.
na,"niniwe sở thoi đak dơnâư. mă-lei dang ei lu sư hrờ đĩ boih. ||| ni-ni-vê giống như hồ nước bị rò.
na,'abrahani hăt hot niỡt lăm bơsùn truh tơ. sara na khan: "mă tẽnh tẽnh bẽ iõk pêng hnỗng tơpùng pợjrâu man bẽ, pơm 'bẽng iẽ.". ||| ông áp-ra-ham vội vã vào lều tìm bà. xa-ra mà bảo: "bà mau mau lấy ba thúng tinh bột mà nhồi, rồi làm bánh."
na,.pơtao. abimêlek kữm tam mă jễ bơngai drỗ-kăn noh ôh, na sư tơl: "ơ. kră. yang, ih hăm trõ wă pơlôch đĩ lu kon pơlei .tơpăt hai? ||| vua. a-vi-me-léc đã không gần gũi bà ấy, vua thưa: "lạy. chúa, một dân công chính mà. ngài cũng giết sao?
na-stf anhak ba inh truh tor 'mdng. o jang gah horlech. .a.u/g m.-inf! ||| người ấy đưa tôi đi tới cổng, cổng quay về phía đông,
na-stf go to'l: ||| nó sẽ trả lời:
na.'bok. kei-dei ăn kơ bơ̆n rai pran.hloh, kư̆m thoi lăm sơ̆p hla bơar.'bok. kei-dei khan mơ̆n: "'bok. kei-dei pơgăn lu bơngai mă pơang akâu kơdih, na pơchoh ăn kơ lu bơngai mă ưh kơ băt pơang akâu, jing pran.". ||| nhưng ân sủng. người ban còn mạnh hơn; vì thế, có lời. kinh. thánh nói:. thiên. chúa chống lại kẻ kiêu ngạo, nhưng ban ơn cho kẻ khiêm nhường.
na.blư 'bôh minh 'nu bơngai brõk đờng hnam akùm 'bok. kei-dei tơm. na bơngai ei roi kơ lu kră sek tơlang, sư khan: "lu bơngai mă iẽm tah tơ hnam phak noh brei, sư dang ei oei bơtho kon pơlei pơla tơ hnarri akùm 'bok. kei-dei tơm.". ||| nhưng có người thoạt đén, báo với họ rằng:. kìa, những người mà các quan đã bỏ tù, nay đương ở trong đền-thờ dạy-dỗ dân-sự!
na.dang ei inh băt boih tơdronglỡng hoh-hoy kơ-oei lăm inh hơya tồ set, tà ling kotaễ ngăl. kiờ kợ don hơdỡr 'bỡr apơi wă kơ petal 'lỗtag ngãi ră, mă-lei.ưh kơkẽ. ||| ivả, tôi biết điều lành chẳng ở trong tôi đâu, nghĩa là ưong xác-thịt tôi, bởi tôi có ý-muốn làm điều lành, nhưng không có quyền làm trọn;
na>: tơdahỉlu.ỉẽm chu yom. inh păng wei răk dôin tơdrong. inh pơgờp pơkă, lei lăm đĩ-đăng kơ dêh char, lu iẽm boih jing tơmamgĩt. inh. mã khan đĩ-đăng teh đak jing tơmamlnh ngăl. ,. ||| vậy giờ đây, nếu các ngươi thực sự nghe tiếng. ta và giữ giao ước của. ta, thì giữa hết mọi dân, các ngươi sẽ là sở hữu riêng của. ta. vì toàn cõi đất đều là của. ta.
naaman bok ydng po'gdr linh potao de. aram, stf noh jd minh 'nu bongai dei todrong goh ke box anap ydng to'ngla stf; de ktfm poyom ko stf deh yua ko. kra. yang yua stf toblah an ko lu kon. polei. aram ke jei, bongai 'nau stf nuih, pran kotang, ma- lei su' 'bom chin. ||| ông. na-a-man, tướng chỉ huy quân đội của vua. a-ram, là người có thần thế và uy tín trước mặt chúa thượng của ông, vì ðức. chúa đã dùng ông mà ban chiến thắng cho. a-ram. nhưng ông lại mắc bệnh phung hủi.
naaman ham di-dang bomgai ma kidrstf wdrt ddmg tor. elise pang khan thoi au. ||| cùng với đoàn tuỳ tùng, ông trở lại gặp người của. thiên. chúa.ông vào, đứng trước mặt ông ấy và nói:
naaman khan. ||| ông. na-a-man nói:
naaman khan ddmg: ||| ông. na-aman nói
naaman klaih ddng ji chin. ||| ông. na-a-man được chữa khỏi bệnh phung hủi
naaman lung athei. elisd idk, ma-lei. elise pojang tfh kor idk. ||| ông. na-a-man nài ép ông nhận, nhưng ông vẫn từ chối. 1
naaman,. ahija păng. gêra đe rôp chông ba, na sư pojing kơ. usa păng. ahihut. ||| na-a-man,. a-khi-gia,. ghê-ra là người dẫn họ đi lưu đày; ông đã sinh ra út-da và. a-khi-khút
naara tơpũ kơ. ahusam,. hêpher,. têmeni păng. ahachtaậ. ||| bà. na-a-ra sinh ra cho ông. a-khút-dam,. khê-phe, các người. têm_x0002_ni và người. a-khát-ta-ri
nabi hma biem khan amch chang de, cha de. ||| chớ thường thường hai anh em cứ bảo chẳng sợ một ai và trông cho gặp địch thủ.
nadap păng. abihu 'bar 'nu kon drŏ-nglo. arôn, măr sư tă kơ chĕp gĕl tơmam 'bâu phu ngăl, tah ŭnh lăm noh, tah tơmam 'bâu phu kơpal păng pơyơ̆r ŭnh đơ̆ng nai 'bơ̆t anăp. kră. yang, ŭnh thoi noh. kră. yang ưh kơ đei tơtă ôh kơ lu sư. ||| hai con trai. a-rôn,. na-đáp và. a-bi-hu, mỗi người đều cầm lư-hương mình, để lửa vào, bỏ hương lên và dâng một thứ lửa lạ trước mặt đức. giê-hô-va; ấy là điều. ngài không phán dặn họ.
naf'pordam khei noh lam sonam m3 podam, dong nar polao. jehoiachin de rdp. ||| ngày mồng năm trong tháng - vào năm thứ năm kể từ khi vua. giô-gia-khin bị đi đày -
nagê kon. maat. maat kon. matathia. matathia kon. sêmêin. sêmêin kon. jôsêch. jôsêch kon. jôđa. ||| nác-gai con. ma-khát,. ma-khát con. mát-tít-gia,. mát-tít-gia con. sim-y,. sim-y con. giô-xếch,. giô-xếch con. giô-đa.
nahas pơtao bơngai. ammôn tơl:. inh gô kĭ pơgơ̆p hăm lu iĕm kiơ̆ thoi âu: ăp kơ đĭ-đăng lu iĕm ăn kơ inh kuek lê̆ măt minh pah gah 'ma, wă pơm mơlâu kơ đĭ-đăng bơngai. isơrael. ||| na-hách, người. am-môn, đáp rằng:. ta sẽ lập ước cùng các ngươi theo cách nầy: phải khoét hết thảy con mắt hữu của các ngươi, để gieo sự sỉ nhục cho cả. y-sơ-ra-ên.
nahas, pơtao bơngai. ammôn, pơgơ̆r lu linh năm wang dăr pơlei. jabes lăm. gileat. đĭ-đăng kon pơlei lăm. jabes năm apinh. nahas:. apinh ih ăn kơ nhôn kĭ pơgơ̆p hăm ih, na lu nhôn gô bơ̆jang kơ ih. ||| na-hách, người. am-môn, đi ra đến vây. gia-be trong. ga-la-át. cả dân. gia-be nói cùng. na-hách rằng:. hãy lập ước cùng chúng tôi, thì chúng tôi sẽ phục sự ông.
nahbi kon drŏ-nglo. wôsi đơ̆ng adrĕch. naptali;. ||| về chi-phái. nép-ta-li,. nách-bi, con trai của. vấp-si;
nahsôn kon drŏ-nglo. aminađap, adrĕch. juda pơyơ̆r năr blŭng-a adrol kơ pơkeh. ||| người dâng lễ-vật mình ngày đầu, là. na-ha-sôn, con trai của. a-mi-na-đáp, thuộc về chi-phái. giu-đa.
nahsôn pợịing. salmon,. salmon pợịing 'bôô,. ||| nác-sôn sinh. xan-ma,. xan-ma sinh. bô-át
nahôr đei 'bar-jĩt tơsĩn sơnăm, pojing. thêra. ||| khi ông. na-kho được hai mươi chín tuổi, thì sinh ra. te-ra.
najf. arôn yỡr ti sư tơklà đak krong dêh êyiptơ, kit tih iẽ mơmõ tõk lanh 'bênh jỡp- jang hloi dêh êyiptơ. ||| vua trả lời: "ngày mai." ông. mô-sê nói: "sẽ xảy ra như lời bệ hạ xin, để bệ hạ biết là chẳng có ai bằng ðức. chúa,. thiên. chúa của chúng tôi.
nakô kon. sêruk. sêruk kon. rêgâu. rêgâu kon. phalek. phalek kon. hêbê. hêbê kon. sala. ||| na-kho con. xơ-rúc,. xơ-rúc con. rơ-u,. rơ-u con. pe-léc,. pe-léc con ê-ve. ê-ve con. se-lác.
nam bcftho be. ||| đức. giê-su hiện ra tại. ga-li-lê, và sai môn đệ đi đến với muôn dân (mc 16: 14 -18; lc 24: 36 -49; ga 20: 19 -23; cv 1:6-8)
nam bd ttf lu btfngai m5'de puh boih lam lu kon ptflei ih ptfm btfn5, khan ktf lu stf 'nau ndt. kr5. yang. tih. hloh khan, m5 lu stf mtfng dah tfh. ||| rồi ngươi hãy đi đến với những kẻ lưu đày, đến với con cái dân ngươi và nói với chúng. ngươi sẽ nói với chúng: "ðức. chúa là. chúa. thượng phán thế này", dù chúng nghe hay không.
nam be diong iok bre. lung,. lang khom dei! ||| mọi người mau đi lấy hai đứa em tôi. lung,. lang trở về đây!
nam be, inh go goih an ko potao de. isorael kotho. ||| ngươi cứ lên đường và trẩy đi. ta sẽ gửi thư cho vua ít-ra-en.
nam blah deh au be pang pefram le sif. ||| hãy tiến đánh và tàn phá xứ này!"
nam bë. dang,. dëch gring bre. lung,. lang jur bë, ban jur padah haâu amoi. ||| diông. sẽn. grẽn bảo. dang,. dẽch dìu hai cô. lung,. lang xuống khỏi khiên và nói chúng ta nghỉ ở đây một lát.
nam bë ban. dang,. dëch chëp ba bre. lung,. lang tôk ta kadông bon anu, kona dah wih. ||| nào, cậu. dang,. dẽch dắt hai cô. lung,. lang kia kéo họ lên trên mủng chúng ta đó rồi đi về ngay.
nam bë lei, ban dah basuh bëna inh dah koh mang. ||| nào, bạn mau múa khiên, diễn trận đi, rồi tôi sẽ chém chặt thử.
nam bë lei. bre ban. dang,. dëch tablah sëm bre. gom là,. gom. iung, na inh sëm. diông. dôk. gle anu baih! ||| nào chúng ta bắt đầu tiến hành. bạn. dang,. dẽch hai cậu đánh anh em. gom. iă,. gom lung còn ta đánh cùng. diông đõk. gle này rồi!
nam bë, lu iëm mong, kuan takan nam sang iôk, ani ka dei bar de bu. ||| chắc chắn là bọn nó chứ không ai khác nữa.
nam dang uh tơluh kơdreh. ||| vào rừng hú
nam dâng uh tơluh bet. ||| vào rừng đâm
nam dâng uh tơluh hăk. ||| vào rừng mửa
nam pom ba ko stf.d&ng rim anih ataih, poih be pok 'ba stf; popoi di minh 'bdt thoi poi 'ba. poldch pogoh be, 'ne pa le minh 'nu bu! ||| nào từ khắp nơi hãy đến đó, mở các vựa của nó ra, chất nó cho thành đống, rồi tận diệt nó, đừng để cho sót lại một tí gì.
nam tor dak krong. jordan moch hum akau ih torpoh wdrt, lei rorka ji chin ih dih gd klaih rorgoh dl. ||| ông hãy đi tắm bảy lần trong sông. gio-đan. da thịt ông sẽ trở lại như trước, và ông sẽ được sạch
nam tơ kông nhâm, jur tơ dak theng. ||| xuống dưới nước nín, đi lên núi khóc
nang. li,. nang. lân iung pơma: ||| nang. li,. nang. lân nói:
nang. li,. nang. lân tỗkboih: ||| ơ anh. pữ. pưng
nangli hơpihjet: ||| nang. li hỏi lại:
nao 'brưch bơngai pơlôch đe iung, pơlôch lu bơngai dơnuh hin păng hoh răm; tơ kơmăng lu sư thoi lĕ bơngai tơtông. ||| trời chưa rạng, kẻ sát nhân đã thức giấc, nó giết hại người túng thiếu và kẻ nghèo hèn; ban đêm nó như kẻ trộm đi lảng vảng.
nao kơtỡng 'bă sư roi tam mă tôch, na êsâu nhớm re hơdrĩ hơdrôi ơh khan kơ 'bă sư thoi âu: 'bă! apinh ih sơkat hloi kơ inh dỡng hai? ||| khi ê-xau nghe những lời của cha, cậu kêu lên một tiếng lớn và cay đắng vô cùng. cậu thưa với cha: "cha ơi, xin cha chúc phúc cho cả con nữa."
nao kơtỡng roi khan. jakôp, kontơdăm oh sư, na. la'ban kơdâu truh kuăr păng chũm na chông pơtơm ba mờt tơ hnam sư. jakôp roi ăn kơ mih sư. la ban băt dôm tơdrong truh kơsư. ||| ông. la-ban vừa nghe nói đến. gia-cóp, con của em gái ông, liền chạy ra đón, ôm cậu mà hôn, rồi đưa vào nhà. cậu kể lại cho ông. la-ban hết mọi việc.
nar 'mi kơxơ̆ yăng bri, dang ai oei 'mi. ||| trời mưa từ chiều qua, bây giờ vẫn còn mưa
nar 'nau inh dei roi boih ktf lu iem, m3- lei lu iem tfh ktf wa chu kid? not. kra. yang 'bok. kei-dei lu idm, tfh ktf wa ptfm kid? dom lu ttfdrong ma. kra. yang dei athei inh roi an ktf lu iem. ||| ngay hôm nay, tôi thông báo cho anh em, nhưng anh em đã chẳng vâng nghe tiếng ðức. chúa,. thiên. chúa của anh em, chẳng theo những điều. người đã sai tôi đến nói với anh em.
nar 'noh konh 'ba. inh. an kef. inh mefseh mefyang tih-tin ro sor to'pa. ||| và bấy giờ,. người sẽ thưởng phạt ai nấy xứng việc họ làm.
nar 'nâu 'noh 'nar. tet. ||| hôm nay là ngày tết
nar 'nâu anhong 'noh pơ dơh hoi. ||| hôm nay anh ấy nghỉ học
nar 'nâu anhŏng nŏh dơ̆h kơ hŏk. ||| hôm nay anh ấy nghỉ học
nar 'nâu duch 'noh năm tê̆ mir. ||| hôm nay cô ấy lên nương
nar 'nâu dueh nŏh năm tơ mir. ||| hôm nay cô ấy lên nương
nar 'nâu gâp sŏh mir. ||| hôm nay họ đốt rẫy
nar 'nâu lu sư soh mir. ||| hôm nay họ đốt rẫy
nar 'nŏh konh gâp năm. ||| ngày kia họ đến
